source,term,term_id,padj,term_size,intersection_size,query_size,ratio,-log10(padj)
GO:CC,nuclear replication fork,GO:0043596,0.034629468354512735,22,4,372,0.010752688172043012,1.4605541758624307
GO:MF,rRNA (guanine) methyltransferase activity,GO:0016435,0.034951064625793206,3,2,355,0.005633802816901409,1.4565395909035546
GO:MF,FK506 binding,GO:0005528,0.034951064625793206,3,2,355,0.005633802816901409,1.4565395909035546
GO:MF,macrolide binding,GO:0005527,0.034951064625793206,3,2,355,0.005633802816901409,1.4565395909035546
GO:BP,chromosome condensation,GO:0030261,0.035120615445964835,73,8,349,0.022922636103151862,1.4544378822179709
GO:CC,spindle microtubule,GO:0005876,0.037284094767384375,36,5,372,0.013440860215053764,1.428476396821749
GO:MF,polypeptide conformation or assembly isomerase activity,GO:0120544,0.03737544885456962,64,7,355,0.01971830985915493,1.4274135830449792
GO:BP,double-strand break repair via homologous recombination,GO:0000724,0.037564710452161136,74,8,349,0.022922636103151862,1.4252199543422137
GO:BP,recombinational repair,GO:0000725,0.037564710452161136,74,8,349,0.022922636103151862,1.4252199543422137
GO:BP,G2/M transition of mitotic cell cycle,GO:0000086,0.037741256940732805,43,6,349,0.017191977077363897,1.423183640118778
GO:BP,protein-RNA complex organization,GO:0071826,0.037741256940732805,148,12,349,0.034383954154727794,1.423183640118778
GO:BP,snRNA processing,GO:0016180,0.040672726048202844,30,5,349,0.014326647564469915,1.3906967184728183
GO:CC,"preribosome, small subunit precursor",GO:0030688,0.04114664894671199,12,3,372,0.008064516129032258,1.3856655286950355
GO:CC,Sin3-type complex,GO:0070822,0.04114664894671199,12,3,372,0.008064516129032258,1.3856655286950355
GO:BP,membraneless organelle assembly,GO:0140694,0.04239487591841656,257,17,349,0.04871060171919771,1.3726866314930182
GO:BP,positive regulation of protein localization to membrane,GO:1905477,0.04239487591841656,9,3,349,0.008595988538681949,1.3726866314930182
GO:BP,RNA modification,GO:0009451,0.04239487591841656,112,10,349,0.02865329512893983,1.3726866314930182
GO:BP,nucleolar large rRNA transcription by RNA polymerase I,GO:0042790,0.04239487591841656,9,3,349,0.008595988538681949,1.3726866314930182
