"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"CG14644",1,0,1,0,2,2,5,5
"CG14655",0,0,0,2,0,1,2,2
"CG14657",190,181,408,207,614,666,757,797
"CG14661",1,1,0,0,1,0,1,2
"CG14662",0,0,0,0,0,1,0,0
"CG14688",5,10,9,10,55,34,28,31
"CG14689",0,0,0,0,0,0,0,0
"CG14691",0,1,0,0,0,3,1,1
"CG14692",2,1,1,0,1,1,1,1
"CG14693",10,7,6,9,18,21,23,22
"CG14694",7,8,11,7,16,30,30,22
"CG14695",111,93,224,114,469,558,513,579
"CG14696",1611,1847,2863,1577,3873,4144,4316,4662
"CG14740",0,0,1,3,3,0,1,2
"CG14743",0,0,0,0,4,0,2,1
"CG14744",0,1,0,0,0,0,1,2
"CG14757",8,10,22,6,29,23,41,34
"CG14762",2,1,3,0,5,9,22,28
"CG14763",39,34,65,46,85,100,142,117
"CG14764",695,526,1257,634,1780,1873,2166,2217
"CG14767",602,569,1132,597,1384,1610,1748,1887
"CG14785",36,20,65,30,68,72,72,75
"CG14812",229,211,395,196,670,726,789,877
"CG14814",304,260,609,251,442,432,558,475
"CG14829",2,2,6,2,6,10,8,6
"CG14830",0,0,0,0,6,0,4,3
"CG14834",52,51,77,54,84,76,117,112
"CG14837",2,0,0,1,0,0,1,1
"CG14840",2,1,3,2,5,10,3,5
"CG14841",4,5,11,4,25,33,28,19
"CG14864",4,4,6,3,24,24,16,16
"CG14868",27,22,43,24,39,41,112,127
"CG14877",2,1,3,1,1,2,4,4
"CG14879",116,152,205,96,1486,1533,2056,2096
"CG14880",2,2,0,0,2,10,7,11
"CG14894",336,275,656,321,491,559,574,646
"CG14905",1,0,2,0,0,1,0,1
"CG14906",133,109,244,133,951,902,771,716
"CG14907",520,518,1034,566,2466,2853,2434,2628
"CG1492",45,36,80,32,90,109,98,107
"CG14921",24,26,44,29,31,38,29,28
"CG14926",0,0,0,0,0,0,0,1
"CG14937",74,71,140,77,241,233,326,322
"CG14949",0,0,0,1,2,1,1,2
"CG14964",27,24,53,29,129,107,142,128
"CG14965",126,80,207,115,208,187,231,231
"CG14968",1,0,0,0,25,23,30,26
"CG14969",60,43,97,67,244,285,283,341
"CG14971",195,204,344,198,691,790,550,511
"CG14984",2,3,3,7,11,16,13,12
"CG14995",197,177,399,210,1686,1726,1708,1781
"CG15005",1,1,3,0,1,1,0,0
"CG15011",240,213,476,208,316,365,339,335
"CG15012",184,199,345,212,422,431,454,552
"CG15014",208,193,382,230,471,439,463,554
"CG15022",0,0,0,0,0,0,0,0
"CG15025",0,0,0,0,0,0,0,0
"CG1503",18,17,35,20,11,6,60,65
"CG15034",0,0,3,0,2,0,5,2
"CG15035",1,1,1,1,1,1,0,0
"CG1504",0,0,1,1,5,3,0,1
"CG15040",4,1,5,1,3,6,6,8
"CG15042",0,0,0,0,0,0,0,0
"CG15046",1,2,2,3,88,83,31,38
"CG15093",96,113,228,132,830,842,846,921
"CG15096",5,5,7,6,16,13,7,9
"CG15097",2137,1980,3727,2164,4865,5000,5686,5590
"CG15098",887,801,1576,912,2783,3365,3504,3801
"CG15099",1318,1231,2612,1382,3222,3372,3863,4112
"CG15107",151,111,261,157,253,234,308,272
"CG15117",53,55,162,57,1042,1078,1054,1053
"CG15118",164,128,350,149,344,399,426,471
"CG15128",0,0,0,0,1,1,0,0
"CG1513",496,462,917,430,1223,1335,1537,1647
"CG15130",0,0,0,1,3,2,0,4
"CG15136",0,0,0,0,0,0,0,0
"CG15143",1,0,0,0,0,0,0,0
"CG15144",0,0,0,0,0,0,1,0
"CG15145",1,0,0,0,0,0,0,0
"CG15153",0,0,0,0,1,0,1,0
"CG15170",1,1,0,1,0,1,1,2
"CG15177",0,0,0,0,0,0,0,0
"CG15199",3,1,3,2,7,5,11,4
"CG1523",163,124,253,123,307,352,434,454
"CG15247",0,0,0,0,2,0,2,0
"CG15249",0,0,1,0,1,0,0,0
"CG15252",0,1,1,0,0,1,0,0
"CG15255",0,0,1,0,2,4,4,4
"CG15278",0,0,0,0,0,0,0,0
"CG15279",15,20,35,19,122,120,129,130
"CG1529",380,432,766,384,809,879,677,760
"CG15293",1,1,4,0,4,7,2,4
"CG15306",0,0,0,0,0,1,0,0
"CG15308",0,0,0,0,0,0,1,0
"CG15309",35,36,63,41,174,153,189,170
"CG15312",48,51,94,44,162,204,206,241
"CG1532",604,580,1256,603,2309,2284,2001,2010
"CG15332",2,6,5,5,21,23,38,52
"CG15333",2,1,0,0,1,2,2,0
"CG15343",12,19,19,16,78,94,78,84
"CG15347",65,64,127,66,165,174,201,242
"CG15356",387,317,677,363,702,748,624,648
"CG15358",0,0,0,0,0,0,0,0
"CG15365",695,787,1375,714,990,994,652,678
"CG1537",0,0,0,0,1,0,0,1
"CG15385",19,21,24,22,67,70,105,94
"CG15412",27,35,54,27,177,205,122,160
"CG15414",18,17,28,16,30,30,21,41
"CG15431",617,627,1146,654,2810,2983,2563,2814
"CG15439",275,269,555,269,632,733,714,811
"CG15443",64,56,124,42,214,246,236,262
"CG15446",20,26,41,10,118,95,149,99
"CG15449",2,3,6,1,3,4,5,4
"CG1545",0,0,0,0,0,0,0,1
"CG15452",0,0,0,0,0,0,0,0
"CG15459",0,0,1,0,1,1,0,0
"CG15468",0,0,0,0,0,0,0,0
"CG15472",0,0,0,0,0,0,0,1
"CG15473",0,0,0,0,0,0,0,1
"CG15478",0,1,3,1,1,2,3,2
"CG15482",549,476,1028,613,1344,1683,1574,1437
"CG15483",0,0,0,0,0,0,0,0
"CG15498",2,5,14,3,53,64,74,70
"CG15514",301,237,513,271,504,582,608,694
"CG1552",0,0,0,0,0,1,0,0
"CG15528",1,2,5,4,73,95,202,215
"CG15531",47,49,87,63,122,139,160,145
"CG15537",2,3,0,3,5,6,11,6
"CG15545",0,0,1,1,0,0,1,3
"CG15546",1,1,1,2,4,5,5,5
"CG15547",193,196,362,218,514,609,517,547
"CG15549",0,0,0,0,0,0,0,0
"CG15553",0,0,0,0,0,0,0,0
"CG15556",17,22,30,16,110,78,104,93
"CG15561",153,124,267,124,164,212,219,230
"CG15564",4,4,11,4,3,8,7,14
"CG15580",0,0,0,0,0,0,0,0
"CG15599",0,0,2,0,18,10,7,16
"CG1561",2,0,0,1,1,2,4,2
"CG15615",0,0,0,0,0,1,0,0
"CG15617",0,0,0,0,2,1,3,0
"CG15631",0,0,0,0,0,0,0,0
"CG15642",19,15,29,12,53,55,55,39
"CG15643",26,31,55,31,144,138,139,161
"CG15646",1,0,1,3,2,8,6,2
"CG15649",6,6,21,8,45,50,46,43
"CG15650",0,0,0,0,0,0,0,0
"CG15651",4,0,3,0,5,10,9,3
"CG15673",171,199,280,219,630,667,563,630
"CG15706",112,125,222,106,330,352,365,348
"CG15711",0,0,0,0,0,0,0,0
"CG15715",144,142,306,155,286,288,343,379
"CG1572",920,883,1587,934,2880,2997,2646,2606
"CG15731",0,0,1,0,1,1,0,2
"CG15740",20,16,31,13,88,84,18,30
"CG15742",1,0,0,1,22,26,4,1
"CG1578",152,142,274,138,551,630,673,678
"CG15803",21,13,39,16,39,30,32,24
"CG15814",128,103,247,124,198,227,208,219
"CG1582",212,181,381,206,482,531,596,670
"CG15820",48,56,94,33,424,452,182,191
"CG15822",70,79,136,51,100,101,84,98
"CG15824",1,1,0,2,2,2,2,2
"CG15861",47,51,93,63,270,281,185,218
"CG15865",0,1,0,1,3,1,0,1
"CG15873",0,0,0,0,0,0,0,0
"CG15877",66,79,134,80,38,39,70,75
"CG15878",0,0,0,0,0,0,0,0
"CG15879",125,100,204,92,375,449,416,439
"CG15888",0,0,0,0,0,0,0,0
"CG15890",60,73,107,78,325,354,260,334
"CG15892",10,17,29,17,82,95,76,81
"CG15905",1,1,0,1,0,2,5,1
"CG15923",1,0,0,0,1,2,3,3
"CG15930",1,1,7,1,10,7,7,8
"CG1598",161,151,336,172,461,558,550,711
"CG1602",52,52,105,46,141,144,165,190
"CG1603",162,138,250,119,237,338,336,349
"CG1620",530,504,1037,498,1113,1228,1488,1543
"CG1628",499,465,931,406,1271,1499,1379,1520
"CG1637",298,270,583,312,806,854,615,570
"CG1648",351,322,664,356,1379,1575,1264,1354
"CG16723",0,0,0,0,1,0,0,1
"CG16736",36,32,45,36,88,78,92,70
"CG16749",9,7,12,10,32,41,47,42
"CG16758",173,216,400,195,1000,990,686,715
"CG1677",1148,997,2332,1038,2856,3316,4376,4596
"CG16779",34,35,56,55,472,468,356,291
"CG16781",2,3,6,4,37,27,22,18
"CG16782",1,0,3,0,8,8,8,10
"CG16787",124,100,245,112,206,241,266,303
"CG16790",61,48,126,51,214,235,210,214
"CG16791",1756,1604,3039,1712,3581,3589,4091,3922
"CG16798",2,3,1,0,4,5,0,3
"CG16799",14,16,25,14,122,117,238,190
"CG16868",356,342,690,339,810,916,868,945
"CG1688",13,20,30,12,20,16,52,67
"CG16890",96,67,169,87,250,298,269,328
"CG16894",0,0,0,0,0,0,0,0
"CG16896",169,141,317,174,372,411,389,454
"CG16898",0,0,0,0,0,0,0,0
"CG1690",0,0,0,0,0,0,0,0
"CG16903",295,251,540,301,380,427,437,457
"CG16904",0,0,0,0,0,0,0,0
"CG16908",68,67,108,55,154,137,201,186
"CG16926",3,1,3,2,8,5,6,7
"CG16935",96,104,189,103,261,307,272,315
"CG16953",419,366,752,377,941,1015,1204,1420
"CG16959",0,3,0,0,6,5,8,13
"CG16972",347,323,705,354,576,594,591,596
"CG16974",533,440,879,460,1052,990,958,1098
"CG17003",0,0,0,0,0,0,0,0
"CG1701",0,0,0,0,0,1,1,1
"CG17019",293,261,565,274,572,670,747,849
"CG17036",28,25,88,33,204,227,153,203
"CG17065",64,38,99,44,112,162,165,213
"CG17068",165,155,363,195,402,503,399,490
"CG17075",127,139,247,159,298,293,357,344
"CG17078",397,354,763,417,911,935,974,1038
"CG17083",12,9,26,18,31,29,37,38
"CG17108",0,0,0,0,16,12,10,11
"CG17111",0,1,4,1,6,6,4,5
"CG17119",1137,1191,1972,1201,3376,3314,3071,3037
"CG17121",22,32,47,39,102,76,189,148
"CG17122",2,3,5,5,9,12,11,7
"CG17124",234,221,460,217,1470,1442,1700,1756
"CG17129",29,30,67,31,149,177,196,183
"CG17139",7,8,13,7,13,5,11,14
"CG17140",7,8,13,7,13,5,11,14
"CG17141",43,54,102,66,111,164,158,170
"CG17159",97,96,200,126,390,361,320,327
"CG17162",170,177,342,208,743,700,637,657
"CG17163",81,77,207,87,310,334,309,372
"CG17173",23,37,84,52,139,148,148,148
"CG17177",0,0,0,0,0,0,0,0
"CG17186",107,110,238,128,338,284,321,296
"CG17187",60,69,147,52,178,250,293,362
"CG17190",0,0,0,0,0,1,1,0
"CG17191",0,1,0,0,0,0,0,0
"CG17192",0,0,0,0,0,0,0,0
"CG17193",69,49,138,54,80,106,82,102
"CG17197",0,0,0,0,0,0,4,4
"CG17198",0,0,0,0,0,0,4,4
"CG17199",0,0,0,0,0,0,0,0
"CG17207",2,4,9,5,34,43,37,26
"CG1722",31,27,60,23,30,63,37,62
"CG17224",182,165,331,181,214,227,602,644
"CG17233",763,653,1383,730,1215,1281,1416,1446
"CG17242",0,0,0,0,0,0,0,0
"CG17249",35,47,97,52,108,106,146,173
"CG17258",33,25,51,31,127,121,253,237
"CG17267",0,0,0,0,1,0,1,2
"CG17270",24,23,44,16,88,113,157,154
"CG17271",183,183,371,197,386,443,454,546
"CG17278",810,911,1663,782,4566,5146,4338,4583
"CG17287",0,0,0,0,0,2,0,0
"CG17359",109,105,179,99,172,221,273,267
"CG17364",1,2,6,2,35,36,11,14
"CG17375",0,1,0,0,0,1,0,0
"CG17377",0,0,0,0,0,0,0,0
"CG17380",0,0,0,0,0,0,1,0
"CG17385",212,186,392,195,409,516,399,423
"CG17387",3,4,5,5,9,10,17,15
"CG17404",0,0,0,0,0,0,0,0
"CG17440",28,17,35,14,63,65,51,59
"CG17450",4,4,5,4,41,45,51,55
"CG17475",0,0,0,1,0,1,1,0
"CG1750",37,24,48,32,54,60,54,58
"CG17528",435,375,798,432,1089,1058,1220,1208
"CG17544",731,670,1419,710,3041,3127,2382,2450
"CG17549",17,31,49,40,170,179,197,203
"CG17564",0,0,0,0,0,0,0,0
"CG17568",86,73,156,74,217,224,240,196
"CG17570",1,1,0,1,2,1,3,2
"CG17571",0,0,0,0,0,0,0,0
"CG17572",0,0,0,0,2,1,0,1
"CG17574",477,375,846,474,1781,1770,2020,1948
"CG17575",5,4,7,6,14,15,14,13
"CG17597",90,106,160,85,361,371,271,234
"CG17598",324,308,559,351,667,750,657,732
"CG17612",67,51,119,53,155,145,119,144
"CG17636",0,0,0,0,0,0,0,0
"CG1764",341,301,651,325,988,1060,980,984
"CG17652",84,83,152,100,149,191,126,157
"CG17660",700,573,1319,588,3010,3833,2441,2791
"CG17669",0,0,0,0,0,1,1,0
"CG17684",1734,1631,3536,1797,6904,7246,8415,8583
"CG17707",0,1,0,0,2,0,0,0
"CG17712",82,82,158,76,272,313,228,227
"CG17724",392,404,783,368,1103,1099,1254,1265
"CG17734",264,223,454,253,1151,1333,1182,1301
"CG17746",326,284,626,294,667,749,980,1106
"CG17764",26,21,51,34,79,70,82,69
"CG17768",113,98,188,99,552,622,612,630
"CG17780",0,0,1,0,1,0,0,0
"CG17781",0,0,0,0,0,0,0,0
"CG17782",0,0,0,0,0,0,0,0
"CG17786",121,105,223,116,191,185,208,192
"CG17801",0,0,0,0,13,10,8,14
"CG17802",109,91,203,107,166,172,207,231
"CG17803",25,36,75,35,101,103,104,121
"CG17806",102,89,225,84,178,161,195,192
"CG17807",113,80,198,96,188,190,185,240
"CG17816",293,490,657,350,1353,1291,1583,1685
"CG17821",0,0,0,0,0,0,0,0
"CG17896",627,572,1175,630,1690,1697,1779,1752
"CG1791",0,0,0,0,0,0,0,0
"CG17931",280,277,600,292,483,474,494,510
"CG17974",1,0,0,0,0,0,0,1
"CG17977",11,7,18,10,40,29,25,37
"CG17982",53,51,139,70,149,199,142,170
"CG17985",702,599,1232,615,1032,1170,1408,1567
"CG17994",27,32,49,37,98,83,149,126
"CG17999",0,0,0,0,0,0,1,0
"CG1801",12,12,16,9,30,28,26,27
"CG18081",145,116,315,127,386,404,396,452
"CG18095",0,0,0,1,0,2,1,0
"CG18128",0,0,0,2,2,2,3,3
"CG18130",1,0,0,0,0,0,0,0
"CG18131",0,2,1,3,16,12,26,26
"CG18135",1142,1127,1999,1190,3110,3435,2927,2864
"CG18171",22,22,58,24,60,89,72,112
"CG18178",199,139,327,152,156,204,185,269
"CG18190",27,24,51,19,85,92,148,227
"CG18213",199,184,388,198,420,479,502,520
"CG18223",0,0,0,0,0,0,0,0
"CG1824",294,275,526,267,782,917,721,781
"CG18259",167,147,303,142,546,606,510,548
"CG18268",25,16,38,19,31,39,21,17
"CG18273",286,244,526,286,319,364,378,373
"CG18278",68,61,127,65,199,203,199,229
"CG18304",1,2,3,3,19,17,22,19
"CG18335",88,93,182,116,344,406,378,404
"CG18418",0,0,0,0,0,0,0,0
"CG18420",2,1,0,0,2,1,5,7
"CG18476",127,84,184,113,346,336,283,339
"CG1850",2,1,0,0,0,1,2,5
"CG18518",0,0,0,0,0,0,0,0
"CG18528",41,51,80,50,287,289,217,230
"CG18547",146,130,273,130,638,698,392,423
"CG18557",740,743,1359,732,1107,1239,1120,1265
"CG18558",145,139,273,177,381,427,550,515
"CG18563",11,10,21,10,52,66,46,44
"CG18568",76,59,131,70,270,304,261,320
"CG18585",1,5,14,6,6,3,11,6
"CG18600",138,112,274,139,156,185,149,180
"CG18609",0,0,0,0,0,0,0,0
"CG18622",694,702,1304,553,3231,3999,3041,3590
"CG18635",1,2,0,0,1,4,1,4
"CG18636",0,0,1,0,0,0,0,0
"CG18641",0,0,0,0,1,2,1,0
"CG18659",1261,1132,2470,1192,3049,3518,3512,3859
"CG18735",0,0,0,0,0,0,0,0
"CG18744",7,1,7,2,26,27,12,13
"CG18745",3,1,4,2,5,3,10,12
"CG18746",1,2,0,2,1,2,2,5
"CG18747",13,11,12,2,16,16,25,31
"CG18748",0,0,0,0,0,0,0,0
"CG18765",6,12,20,5,29,21,9,15
"CG18766",222,247,483,239,909,1098,783,859
"CG18787",52,66,130,63,155,194,242,292
"CG18789",67,73,140,55,196,199,250,266
"CG18808",67,57,134,51,147,154,180,180
"CG18809",380,365,777,341,676,709,622,651
"CG18858",202,191,334,195,602,714,603,745
"CG18870",332,305,604,302,1008,1161,1257,1301
"CG1888",93,75,164,82,173,230,264,301
"CG1924",10,6,11,9,2,1,2,1
"CG1927",815,892,1595,811,2578,2405,2304,2477
"CG1983",59,57,109,56,115,132,115,139
"CG1986",0,0,0,0,0,0,0,0
"CG1998",272,360,759,353,1377,1445,1167,1339
"CG2004",412,420,876,408,2285,2671,2251,2592
"CG2016",3,1,2,0,6,9,6,5
"CG2017",297,282,644,302,4261,4192,3446,3399
"CG2063",116,97,231,106,180,204,232,300
"CG2082",119,111,250,108,337,378,386,420
"CG2091",85,72,161,74,215,187,192,222
"CG2100",47,33,74,47,87,109,126,139
"CG2104",1,2,0,1,0,1,0,1
"CG2121",6,7,12,6,46,50,32,31
"CG2126",49,53,122,50,184,230,211,236
"CG2127",0,0,0,0,0,0,0,0
"CG2150",1,1,3,0,1,1,0,1
"CG2182",531,449,1009,542,1097,1229,1212,1333
"CG2187",0,0,1,1,2,0,0,1
"CG2199",451,398,946,410,724,677,893,976
"CG2201",529,512,932,509,2664,2740,1992,2157
"CG2211",118,95,240,107,234,264,345,366
"CG2217",127,123,277,138,131,126,145,154
"CG2218",524,454,986,460,915,993,1083,1163
"CG2224",119,118,233,134,215,263,337,360
"CG2225",386,372,798,406,1904,1861,2125,1997
"CG2233",41,29,92,36,124,108,119,98
"CG2246",168,187,373,167,543,608,596,607
"CG2247",283,284,564,281,1535,1536,1863,1727
"CG2256",12,12,25,9,120,99,152,121
"CG2258",69,66,141,65,272,265,283,292
"CG2260",116,109,206,91,134,158,136,132
"CG2267",0,0,0,0,0,0,0,0
"CG2277",463,520,894,468,420,398,589,595
"CG2278",76,39,126,66,160,163,161,167
"CG2310",603,799,1422,853,1894,1967,2055,2160
"CG2321",181,165,358,174,344,361,368,417
"CG2493",252,264,462,246,865,937,1007,1093
"CG2519",549,496,1081,492,1322,1366,1379,1439
"CG2528",26,26,40,40,99,98,95,106
"CG2663",0,1,1,0,12,11,2,3
"CG2680",1,2,0,0,34,46,16,29
"CG2685",113,96,254,99,203,215,214,290
"CG2691",439,413,857,404,673,791,657,690
"CG2701",234,190,451,204,299,369,369,432
"CG2736",0,2,1,2,2,0,3,4
"CG2747",599,558,1224,574,1423,1522,1921,1876
"CG2765",3853,3825,7361,4120,4639,4837,5842,6027
"CG2767",262,231,351,177,927,829,812,900
"CG2790",343,321,627,259,436,522,536,527
"CG2841",90,104,190,95,321,367,217,240
"CG2846",91,107,210,98,347,375,468,489
"CG2852",859,786,1467,1000,2787,2878,3098,3162
"CG2861",0,0,1,0,0,1,1,0
"CG2865",953,736,1640,764,2565,2817,3164,2991
"CG2871",0,0,0,0,0,1,0,1
"CG2875",347,280,725,331,358,412,353,401
"CG2887",5,0,1,4,2,2,5,5
"CG2911",179,179,305,174,1114,1202,1423,1439
"CG2915",195,214,417,189,365,386,493,521
"CG2918",418,418,820,463,535,666,618,731
"CG2921",96,79,190,110,216,260,264,288
"CG2924",318,285,665,290,643,663,833,962
"CG2926",802,696,1343,741,1258,1317,1377,1580
"CG2931",189,149,336,166,378,431,404,459
"CG2938",314,301,599,284,580,659,617,728
"CG2962",0,0,0,0,1,0,1,0
"CG2993",0,0,0,0,4,7,8,3
"CG30001",44,42,97,43,139,123,158,136
"CG30015",1033,1024,1970,1023,3880,3929,4836,4654
"CG30022",52,52,114,60,476,539,655,715
"CG30036",1,0,0,0,1,6,6,1
"CG30037",4,5,9,7,35,35,29,27
"CG30053",0,0,1,1,1,3,4,5
"CG30058",0,0,0,0,3,1,3,1
"CG30059",65,43,119,58,162,194,209,193
"CG30076",0,0,0,0,1,0,3,0
"CG30080",0,1,2,0,2,4,1,1
"CG30082",0,1,1,1,6,0,4,10
"CG30083",1,0,1,0,0,0,0,0
"CG3009",1,3,4,3,13,7,4,4
"CG30096",22,21,48,24,111,115,111,131
"CG30110",0,0,0,0,0,0,0,0
"CG30116",136,146,257,147,751,872,768,811
"CG30122",1150,1010,2045,1096,1803,1828,1779,1910
"CG3014",45,55,113,56,166,222,49,69
"CG30148",5,2,12,5,33,30,14,18
"CG30156",414,476,799,435,2379,2520,2612,2749
"CG30157",96,90,187,77,303,339,396,388
"CG30183",345,311,636,336,468,478,475,482
"CG30187",591,478,1015,492,963,1198,1329,1485
"CG30259",0,0,0,0,0,0,0,0
"CG30278",0,0,0,0,0,0,0,1
"CG30284",1,1,1,0,0,0,1,0
"CG30286",0,0,0,1,0,0,0,1
"CG30287",1,1,1,0,0,1,0,2
"CG30288",0,1,0,1,0,2,2,1
"CG30289",0,2,1,0,0,1,2,4
"CG30291",112,85,201,107,237,267,247,243
"CG3032",39,32,63,34,125,141,188,164
"CG30325",0,0,0,0,0,0,1,2
"CG30339",62,58,115,74,437,421,575,495
"CG30340",39,49,70,41,307,282,421,306
"CG30357",95,73,156,73,190,201,235,255
"CG30371",0,0,0,0,0,0,0,0
"CG30375",0,0,0,0,0,0,0,0
"CG3038",33,23,73,29,29,40,36,27
"CG30382",423,375,824,426,764,903,1000,1160
"CG30383",8,8,18,10,54,64,29,19
"CG30389",542,501,1041,543,1790,1930,1938,1998
"CG30391",16,13,22,17,29,16,54,42
"CG30392",102,98,178,100,388,392,502,549
"CG30393",5,4,12,6,11,6,19,10
"CG30394",438,334,843,365,929,1021,1125,1106
"CG3040",53,64,99,54,128,159,262,300
"CG30403",25,49,60,35,174,169,257,222
"CG30412",0,0,0,0,0,0,0,0
"CG30414",25,20,35,26,83,119,155,187
"CG30416",0,0,0,0,0,0,0,0
"CG30419",0,0,1,0,2,1,1,3
"CG30424",35,36,83,48,36,43,81,89
"CG30427",5,1,9,3,10,5,10,6
"CG30440",18,19,37,22,105,107,117,112
"CG3045",156,125,257,144,248,306,252,287
"CG30460",169,178,352,185,907,1092,1184,1390
"CG30461",52,43,105,34,186,198,244,234
"CG30479",14,7,31,14,55,49,13,5
"CG30480",14,7,31,14,55,49,13,5
"CG30503",103,85,191,103,368,459,482,558
"CG3062",0,0,1,1,1,0,1,0
"CG3078",9,2,13,5,24,22,42,26
"CG3081",0,0,1,1,0,0,1,0
"CG3091",69,82,138,70,179,164,174,181
"CG3097",5,8,22,8,11,15,21,22
"CG31010",0,0,0,0,0,0,0,0
"CG31013",0,0,0,0,0,0,0,0
"CG31028",0,0,0,2,12,14,5,11
"CG31029",6,4,4,7,46,34,80,80
"CG31030",2,0,1,1,3,1,3,5
"CG3104",143,122,256,129,547,654,885,1063
"CG31055",0,0,0,0,3,0,1,0
"CG3106",6,5,5,4,12,24,10,8
"CG31064",138,136,278,165,241,288,343,361
"CG31075",360,429,716,390,1782,1832,1941,2073
"CG3108",0,0,1,0,0,1,0,0
"CG31087",0,1,1,0,5,4,2,3
"CG31097",0,0,1,0,1,1,1,2
"CG31098",298,292,505,251,654,719,753,842
"CG31099",0,2,0,1,2,2,0,1
"CG31100",2,2,5,5,14,28,19,34
"CG31102",4,1,10,1,12,15,11,9
"CG31109",96,88,185,99,168,167,184,194
"CG31111",45,42,72,36,122,110,142,152
"CG31121",2,1,3,0,6,13,3,5
"CG31122",561,496,1048,519,1112,1126,1222,1326
"CG31125",26,17,39,12,55,41,66,55
"CG31131",0,1,0,1,0,1,0,0
"CG31139",17,10,32,16,51,43,48,34
"CG31145",1379,1359,2795,1508,6728,6623,6732,6350
"CG31156",80,84,159,83,195,232,255,281
"CG3117",25,23,51,46,20,28,36,37
"CG31176",152,142,224,148,1266,1230,1200,1316
"CG31183",462,618,1049,525,997,1340,1165,1472
"CG3119",0,0,1,0,3,0,1,1
"CG31191",792,720,1538,777,3195,4111,2875,3446
"CG31195",743,649,1337,699,1451,1637,1510,1570
"CG31199",1,0,1,1,0,0,1,5
"CG31200",0,0,0,0,0,0,0,0
"CG31204",0,0,0,0,0,0,1,0
"CG31206",0,0,0,0,0,0,0,0
"CG31224",670,582,1236,637,1518,1604,1478,1645
"CG3123",1,0,1,0,1,3,1,1
"CG3124",2,1,3,2,1,0,0,1
"CG31244",15,24,39,22,35,54,52,40
"CG31245",14,16,19,8,21,17,23,28
"CG31249",145,160,313,168,290,356,344,341
"CG31251",34,33,59,30,126,145,140,130
"CG31253",0,1,0,1,0,1,0,0
"CG31262",0,0,1,0,0,0,0,0
"CG31272",3,1,3,2,19,17,17,17
"CG31288",5,7,12,4,16,13,10,24
"CG31294",0,0,0,0,0,0,0,0
"CG31296",8,4,6,4,37,32,60,46
"CG31326",4,7,8,3,5,5,5,3
"CG31327",0,0,0,0,0,0,0,0
"CG31337",32,29,42,21,54,68,23,20
"CG31344",326,380,608,337,922,876,953,887
"CG31345",0,0,0,0,0,0,0,0
"CG31357",83,91,180,100,238,273,370,358
"CG31358",0,0,0,0,1,0,0,0
"CG31365",259,215,533,246,571,610,652,727
"CG31371",5,10,11,4,35,28,122,139
"CG31380",0,0,0,0,3,0,4,5
"CG31391",17,9,21,18,33,31,37,47
"CG31407",30,24,50,35,160,138,104,103
"CG31445",164,138,264,132,1137,1325,821,857
"CG31457",177,160,313,177,430,475,473,579
"CG31467",51,48,77,48,100,111,92,109
"CG31468",1,3,2,2,4,2,2,3
"CG3149",98,114,209,98,250,331,324,357
"CG31495",45,62,119,59,135,170,151,165
"CG31510",508,497,968,479,1707,1987,1963,2217
"CG31516",0,0,0,0,1,2,3,5
"CG31522",663,671,1293,676,1406,1539,1783,1818
"CG31523",2206,2073,4086,2173,5334,6081,5206,6005
"CG31524",0,0,0,0,1,0,0,1
"CG31533",0,0,0,0,0,0,0,0
"CG31538",123,94,212,105,283,305,297,310
"CG31559",0,0,2,0,4,2,2,1
"CG31600",0,0,0,0,0,0,0,0
"CG31601",1,1,1,0,77,82,22,27
"CG31612",225,206,422,168,492,535,652,639
"CG31624",0,0,0,0,2,1,2,0
"CG31626",1,2,3,0,12,11,18,22
"CG31633",25,13,42,7,99,126,125,132
"CG31635",688,606,1269,615,2851,3296,2785,3019
"CG31636",0,0,1,0,1,5,4,2
"CG31639",0,0,0,0,0,0,0,0
"CG3164",1654,1771,3154,1826,4940,5399,4934,5092
"CG31650",107,89,203,85,261,289,321,365
"CG31663",1,0,2,0,4,5,2,3
"CG31664",3,3,8,5,12,4,10,6
"CG31668",0,0,1,0,1,1,0,1
"CG31678",472,384,840,444,1325,1648,1586,1776
"CG3168",495,460,951,573,2168,2063,4540,4023
"CG31683",202,191,334,195,601,710,601,742
"CG31694",784,655,1436,700,1872,2027,2656,2898
"CG31705",858,831,1377,779,2885,3035,2778,2962
"CG31706",1,1,0,0,3,5,3,7
"CG31709",0,0,0,0,0,0,0,0
"CG31710",799,930,1678,757,2248,2207,2184,2400
"CG31712",281,237,562,260,564,641,645,673
"CG31752",49,48,88,40,96,117,111,141
"CG31769",5,2,12,5,41,38,27,25
"CG31773",0,0,0,0,0,0,0,0
"CG31778",19,9,26,13,70,86,80,98
"CG31784",0,0,0,0,0,0,0,0
"CG31785",1,1,5,1,3,1,2,2
"CG31797",0,0,0,0,0,0,0,1
"CG31805",25,16,43,15,58,41,43,37
"CG31807",6,7,6,3,29,22,82,73
"CG31808",53,67,119,59,793,930,416,539
"CG31809",1,1,3,2,52,45,45,53
"CG31810",2,1,3,0,3,4,2,5
