"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"Es2",72,84,166,83,218,247,265,316
"escl",108,114,218,137,403,407,492,493
"esg",442,366,550,304,423,353,352,419
"esn",0,0,2,1,23,28,25,33
"Esp",28,27,66,17,58,69,71,70
"Est-6",0,2,2,1,3,4,3,2
"Est-P",0,0,0,0,0,0,0,0
"Est-Q",0,1,0,0,4,4,5,1
"Esyt2",1913,1895,3801,1821,7552,8205,7604,8057
"Etf-QO",127,123,275,148,251,291,353,330
"ETHR",15,14,36,5,261,368,287,341
"Ets65A",0,3,3,2,4,4,1,3
"Ets96B",1,1,2,3,6,3,2,4
"Ets98B",0,0,2,1,15,7,6,6
"eve",106,123,192,125,109,124,122,135
"ex",2790,2769,4969,3011,5372,5457,5127,5217
"exd",150,123,270,146,400,410,404,388
"exex",89,115,182,68,265,246,208,218
"Exn",1213,983,2222,1147,3851,4219,4031,4207
"Exo70",164,133,289,156,264,314,357,397
"exp",2,3,0,1,5,5,3,6
"ey",27,14,44,31,76,71,73,70
"eys",2,1,2,2,14,10,10,9
"f",5,3,15,2,26,21,17,25
"Fad2",0,0,0,0,0,0,1,0
"Fadd",346,244,607,279,429,533,601,716
"faf",813,696,1478,833,1755,1898,2145,2295
"fal",349,408,674,383,1569,1633,1653,1704
"FAM21",149,146,289,138,480,507,490,518
"Fancm",113,97,238,116,343,320,340,355
"fand",238,206,452,203,489,518,554,542
"Fas1",12,13,35,8,304,282,478,445
"Fas3",409,390,697,385,1934,1988,1621,1625
"FASN1",3864,3817,7443,4186,7135,7321,10330,9813
"FASN2",5702,5708,9952,5885,11307,13943,14774,14179
"fat-spondin",468,367,876,413,1714,2083,1981,2453
"Fatp2",2,0,0,0,0,0,1,1
"Fatp3",1832,1847,2767,1703,2863,3039,3532,3702
"fbl",183,134,317,172,328,332,420,370
"Fbp2",0,0,0,1,0,1,4,3
"Fbxl7",3,0,3,3,32,29,38,44
"fd3F",2,1,2,1,10,8,7,9
"fd59A",1,3,2,2,5,0,10,4
"fd96Ca",0,0,0,0,2,2,2,1
"fd96Cb",2,7,4,2,3,2,5,3
"Fer1",0,1,5,2,2,6,6,4
"Fer2LCH",572,705,1062,651,2625,2784,2554,2736
"fest",0,0,0,0,0,3,3,2
"Fhos",1340,1533,2638,1355,3187,3394,4842,5342
"Fic",422,408,738,377,935,1166,1029,1149
"fid",0,0,3,1,3,4,9,6
"Fie",8,6,8,7,79,70,66,66
"FIG4",52,48,107,66,156,169,136,155
"Fili",108,101,188,100,772,855,479,577
"Fip1",309,290,577,289,912,915,850,871
"FipoQ",1,0,1,0,4,2,9,7
"Fit1",502,429,892,410,1642,1884,1748,1865
"Fit2",166,179,335,164,320,386,416,492
"fj",156,168,244,165,323,393,289,273
"Fkbp59",826,795,1523,799,887,966,977,1122
"FLASH",91,63,155,68,224,177,237,270
"flfl",1067,895,1931,946,2098,2302,2218,2244
"fliI",310,322,672,372,592,598,602,640
"Flo2",888,773,1757,958,2511,2722,2785,2720
"flr",660,677,1334,688,1587,1761,1691,1754
"flw",370,299,613,366,982,926,1157,1174
"Fmo-1",1,2,0,1,11,14,0,3
"FMRFa",0,0,0,0,2,1,3,1
"FMRFaR",0,1,1,0,1,3,1,4
"fne",21,22,45,25,50,63,60,54
